Number of activities and dose by community by month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com_ID,,yr_mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,Total
33,number of activities,0,1,0,0,0,4,4,3,1,8,5,0,4,8,8,8,9,8,8,7,10,8,8,5,5,5,2,129
,dose,0,0.33,0,0,0,1.6825,2,1.25,0.33,8.928,8.2264,0,2.67,4,4.33,4.33,6.64,3.99,3.99,3.66,7.75,4.74,4.74,2.4,3.08,2.74,1.33,83.1369
34,number of activities,0,4,0,0,0,0,0,4,2,4,3,0,0,8,0,0,0,0,0,8,8,8,9,9,9,9,2,87
,dose,0,3.711,0,0,0,0,0,3.32,1,1.66,1.33,0,0,4.2312,0,0,0,0,0,4.464,3.99,4.33,5.33,5.33,5.33,5.67,0.66,50.3562
41,number of activities,2,0,1,2,1,3,1,2,1,5,2,1,5,6,8,7,8,7,8,8,10,5,4,5,4,5,0,111
,dose,1.2857,0,0.4,1.67,0.7,1.53,0.33,0.66,1,3.3172,1.47,1.34,4.68,4.34,5.01,4,6.8652,7.09,4.59,5.34,6.145,3.32,4.01,6.02,5.33,4.67,0,85.1131
43,number of activities,1,0,1,1,1,5,1,3,5,5,6,5,6,6,7,7,13,9,9,9,6,3,5,5,2,1,0,122
,dose,1,0,0.48,1,0.2475,3.2475,0.2475,1.66,5.67,4.5633,4.84,5.01,6.36,4.68,4.68,4.1675,8.9412,5.455,5.6448,6.1407,2.5271,1.65,2.3605,2.5025,1.33,0.33,0,84.7351
91,number of activities,5,1,4,6,0,0,0,0,12,0,0,0,5,6,8,6,7,0,5,3,4,3,4,7,3,2,1,92
,dose,3.97,0.67,2.1649,3.1709,0,0,0,0,7.721,0,0,0,4.1548,4.98,6.3627,6.966,7.171,0,3.57,1.33,1.3591,0.429,1.4784,3.312,3.874,1.33,0.33,64.3438
92,number of activities,1,0,1,4,0,0,0,0,11,0,0,0,5,2,3,4,10,0,2,0,1,2,4,3,6,3,0,62
,dose,0.67,0,0.67,2.334,0,0,0,0,8.587,0,0,0,3.5828,5,1.2989,3.34,6.03,0,1.11,0,0.297,1.84,4.6355,0.8427,6.0227,2.442,0,48.7026
101,number of activities,3,2,3,9,7,4,5,4,3,17,13,15,15,12,15,17,10,9,7,4,3,8,10,6,3,8,3,215
,dose,1.66,3.33,3.835,6.7525,5.99,4.165,3.365,1.665,1.2525,14.9865,10.88,6.9348,9.6395,10.956,12.3185,17.3107,6.6755,7.842,4.918,3.6018,1.396,3.7723,8.2215,4.253,0.957,5.2853,2.8425,164.8059
103,number of activities,2,1,1,1,1,1,1,0,2,4,6,4,5,7,5,3,4,2,3,2,8,4,5,1,0,4,0,77
,dose,1.33,0.33,0.33,0.33,0.33,0.33,0.132,0,1.165,3.01,5.923,2.056,3.134,4.4188,8.082,3,2.6432,1.2,1.464,4,5.99,2.871,3.33,0.804,0,2.204,0,58.407
111,number of activities,0,2,0,0,0,0,2,0,3,2,0,1,7,4,4,8,7,3,3,8,10,7,6,6,6,4,4,97
,dose,0,0.66,0,0,0,0,0.66,0,2.8475,2.68,0,0.67,9.33,2.67,2.67,4.4,6.1875,1.66,0.99,3.31,4.5688,2.4828,1.7427,1.7031,2.02,1.025,1.66,53.9374
Total,number of activities,14,11,11,23,10,17,14,16,40,45,35,26,52,59,58,60,68,38,45,49,60,48,55,47,38,41,12,992
,dose,9.9157,9.031,7.8799,15.2574,7.2675,10.955,6.7345,8.555,29.573,39.145,32.6694,16.0108,43.5511,45.276,44.7521,47.5142,51.1536,27.237,26.2768,31.8465,34.023,25.4351,35.8486,27.1673,27.9437,25.6963,6.8225,693.538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dose = Number of activities conducted x effectiveness score x total number of participants/intended number of participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,
33,activities,0,1,1,1,1,5,9,12,13,21,26,26,30,38,46,54,63,71,79,86,96,104,112,117,122,127,129,
,activities,0,0.007751938,0.007751938,0.007751938,0.007751938,0.03875969,0.069767442,0.093023256,0.100775194,0.162790698,0.201550388,0.201550388,0.23255814,0.294573643,0.356589147,0.418604651,0.488372093,0.550387597,0.612403101,0.666666667,0.744186047,0.80620155,0.868217054,0.906976744,0.945736434,0.984496124,1,
34,,0,4,4,4,4,4,4,8,10,14,17,17,17,25,25,25,25,25,25,33,41,49,58,67,76,85,87,
